Title,Tags,Description,URL,Summary
"Singapore amends cybersecurity law to better secure national interests, essential services - CNA","Singapore Parliament,cybersecurity,Josephine Teo,Janil Puthucheary","Communications and Information Minister Josephine Teo said changes to the Cybersecurity Act are not a reactive measure, but instead designed to tackle future challenges in the fast-changing digital landscape. Major changes include making it mandatory for service providers to share details of cyberattacks, as well as updated laws for the use of new technologies like cloud computing.16 MPs rose in support of the bill, but sought clarifications on the Critical Information Infrastructure and raised concerns about the compliance cost that would be incurred by firms.",https://www.channelnewsasia.com/watch/singapore-amends-cybersecurity-law-better-secure-national-interests-essential-services-4319031,major changes include making it mandatory for service providers to share details of cyberattacks. MPs raise concerns about the compliance cost that would be incurred by firms.
New law will require owners of critical services to report wider range of cybersecurity incidents - CNA,"cybersecurity,Singapore Parliament","SINGAPORE: A Bill aimed at bolstering Singapore’s cybersecurity defences while accounting for changes in technology was passed by parliament on Tuesday (May 7). Under amendments to the Cybersecurity Act, owners of critical information infrastructure (CII) must now report more types of incidents including those that happen in their supply chains. This is to address the “inventiveness” of malicious cyber actors, said Senior Minister of State for Communications and Information Janil Puthucheary. “As the tactics and techniques of malicious actors evolve to target systems at the periphery or along supply chains, we must also start placing our alarms at those places,” he added. The new law will allow authorities to regulate a new type of system called Systems of Temporary Cybersecurity Concern (STCC). These are systems that, for a time-limited period, are at high risk of cyberattacks, and if compromised, would damage Singapore’s national interests. The Cyber Security Agency of Singapore (CSA) will now also be able to manage entities beyond its current regulatory regime. These include Entities of Special Cybersecurity Interest (ESCIs). Attacks on ESCIs could have a “significant detrimental effect” on Singapore’s defence, foreign relations, economy, public health, public safety, or public order, because of the disruption of the function they perform, or the disclosure of sensitive information their computer systems contain, explained Dr Janil. The specific list of entities designated as ESCIs should not be disclosed publicly to avoid inadvertently advertising these entities as “worthy targets” to malicious actors, he added. CSA will now also be able to deal with situations where a CII is supporting an essential service from overseas. With the new changes, CSA can designate and regulate such CIIs so long as its owner is in Singapore and the computer system would have been designated as a CII had it been located in Singapore. Tabling the Bill for a second reading, Dr Janil said that it aims to tackle “shifts in the operating context” in cybersecurity, and strengthen the administration of the Act to address “operational challenges” CSA has faced. “The Cybersecurity Act has now been in force for six years. The core objectives continue to be relevant today. We’ve reviewed the Act, learning from our experiences, and taking into account changes in technology,” he explained. “In order to continue to ensure Singapore’s cybersecurity, a review and an update to the Act is needed as several aspects of our operating context have changed.”",https://www.channelnewsasia.com/cybersecurity-critical-services-csa-mci-parliament-4318321,"a bill aimed at bolstering Singapore's cybersecurity defences was passed by parliament on may 7. owners of critical information infrastructure (CII) must now report more types of incidents including those that happen in their supply chains. this is to address the ""inventiveness"" of malicious cyber actors, said senior minister of state for communications and information Janil Puthucheary."
Law firm Shook Lin & Bok hit by ransomware attack - CNA,"ransomware,cybersecurity","SINGAPORE: Law firm Shook Lin & Bok was hit by a ransomware attack in April, it confirmed on Thursday (May 2). The incident was discovered on Apr 9 and the law firm said it immediately engaged a cyber security team. Its systems were contained as of 2am on Apr 10, it said in a statement to CNA. There is no evidence so far that the firm’s core document management systems, which contain client data, were affected, the statement read. The firm continues to operate as per usual. It is also working closely with cyber security teams and other specialists to minimise the impact to its clients and stakeholders arising from the “illegal cyber intrusion”. According to an article on SuspectFile, which calls itself an independent website focusing on the ransomware phenomenon, Shook Lin & Bok paid a ransom of US$1.4 million in Bitcoin to the Akira ransomware group. The group initially demanded a ransom of US$2 million, which was negotiated down after a week, the article said. The Cyber Security Agency of Singapore (CSA) said it was aware of the incident and has offered assistance to the law firm. “The government strongly discourages victims from paying ransom, as there is no guarantee that locked data will be decrypted or that stolen data will not be used for malicious purposes once ransom has been paid,” its spokesperson said in a statement to CNA. “Threat actors may also see such organisations as soft targets who are willing to pay up, and strike again. Paying also encourages the threat actors to continue their criminal activities and target more victims.” Shook Lin & Bok did not respond to questions about whether it paid the ransom and how much it paid. CNA understands the firm has made a police report. “All steps taken thus far in response to the illegal cyber intrusion and steps that we intend to take in future are and will be done with the best interest of our clients and stakeholders at the forefront of our consideration,” it said in its statement.",https://www.channelnewsasia.com/singapore/shook-lin-and-bok-akira-ransomware-paid-ransom-bitcoin-4308441,"the incident was discovered on Apr 9 and the law firm immediately engaged a cyber security team. there is no evidence so far that the firm’s core document management systems, which contain client data, were affected, the statement read."
Getting multiple prompts to reset your Apple ID password? It’s a scam - CNA,"Apple,CSA,cybersecurity","SINGAPORE: Have you been bombarded with prompts to reset your Apple ID password? You might be the target of hackers trying to get your personal details. The Cyber Security Agency of Singapore (CSA) on Tuesday (Apr 9) warned iPhone users that they should press ""don't allow"" if they are prompted to reset their passwords. There have been reports of such phishing attempts in recent days. “ Cybercriminals are using this method to phish for your confidential information and take over your account. Keep your device software updated for essential security patches ,” it wrote on Facebook. It also warned that hackers are posing as Apple’s support team to request one-time password (OTP) reset codes. Apple users are urged to reject these calls. “Never share your OTP or login information with anyone over messages or calls,” said CSA. In an advisory in March, Apple said scammers can trick users into sharing information through fraudulent emails and other messages that look like they're from legitimate companies, including Apple. Misleading pop-ups and ads that say the device has a security problem, and scam phone calls or voicemails that impersonate Apple Support can also be methods through which hackers use to target people. Users can protect their Apple ID by enabling two-factor authentication and never sharing their password or verification codes with others. ""If you receive a suspicious email or SMS text message that looks like it's supposed to be from Apple, please email it to reportphishing [at] apple.com ,"" the advisory wrote.",https://www.channelnewsasia.com/singapore/apple-id-password-prompts-phishing-scam-csa-4252956,"the cyber security agency of Singapore warns users to press ""don't allow"" if they are prompted to reset their passwords. there have been reports of such phishing attempts in recent days, according to the CSA. users can protect their Apple ID by enabling two-factor authentication and never sharing password or verification codes with others. ""if you receive a suspicious email or SMS text message that looks like it's supposed to be from Apple, please email"
Proposed law will require owners of critical services to report cybersecurity incidents - CNA,"cybersecurity,Cyber Security Agency of Singapore,cyber security","More organisations are set to be regulated under the Cybersecurity Act to better secure critical systems and respond to emerging digital threats. They will be subject to requirements, such as reporting cybersecurity incidents and abiding by cybersecurity standards and codes of practice. Under the amendment, companies will face criminal charges if they commit a breach. These are part of changes to the Act tabled to give Singapore's Cyber Security Agency more oversight over the cybersecurity of important systems and entities.",https://www.channelnewsasia.com/watch/proposed-law-will-require-owners-critical-services-report-cybersecurity-incidents-4240421,more organisations set to be regulated under the Cybersecurity Act. companies will face criminal charges if they commit a breach of cybersecurity standards and codes of practice - part of changes to the Act tabled to give Singapore's cyber security agency more oversight over the cybersecurity of important systems and entities.
"Proposed law will require owners of critical services like water, banking to report more types of cybersecurity incidents - CNA","cybersecurity,CSA,Singapore Parliament","SINGAPORE: Owners of critical information infrastructure (CII), such as those providing water, electricity and banking services, will be required to report more types of cybersecurity incidents, including those that happen in their supply chains, under a new proposed law. This way, the Cyber Security Agency of Singapore (CSA) said it can be more aware of the cybersecurity threats that could potentially cause disruptions to Singapore’s essential services and work with owners more proactively to secure them. Tabled in parliament on Wednesday (Apr 3), the Cybersecurity (Amendment) Bill will update existing provisions relating to the cybersecurity of CII as well as expand CSA’s oversight to cover Systems of Temporary Cybersecurity Concern or STCCs. This refers to computer systems that are critical to Singapore and are at a high risk of cyberattacks because of certain events or situations. The Bill seeks to amend the Cybersecurity Act 2018, which establishes a legal framework for the oversight and maintenance of national cybersecurity in Singapore. The objective of the Bill, which would amend the Act for the first time, is to ensure that the law keeps pace with developments in the cyber threat landscape, as well as Singapore’s evolving technological operations, said CSA in a media release on Wednesday. A key aspect of the Bill is also to ensure that CII owners remain responsible for the cybersecurity and cyber resilience of the systems, while embracing new technological and business models such as cloud computing, said CSA. The intention to amend the law was first laid out by Minister for Communications and Information Josephine Teo last month when she spoke in parliament about her ministry’s spending plan. She said the law needed to change to reflect the increasing importance of ensuring the cybersecurity of the digital infrastructure and services that power Singapore’s digital economy, as well as allow citizens to meet their day-to-day needs.",https://www.channelnewsasia.com/singapore/cybersecurity-critical-information-infrastructure-csa-parliament-4238971,"the Cybersecurity (Amendment) Bill will update existing provisions relating to the cybersecurity of CII. it will also expand CSA’s oversight to cover systems of temporary cybersecurity concern (STCCs) this refers to computer systems that are critical to Singapore and are at a high risk of cyberattacks because of certain events or situations. the aim of the Bill is to ensure that the law keeps pace with developments in the cyber threat landscape, as well as"
Countries hosting high-level global meetings not expected to provide secure communications beyond event: Heng Chee How - CNA,"parliament,MINDEF,SAF,cybersecurity","SINGAPORE: The cybersecurity of internal virtual meetings by foreign militaries that are outside the scope of the overseas events they are attending are typically not covered by the host country, Senior Minister of State for Defence Heng Chee How said on Tuesday (Apr 2). The Ministry of Defence (MINDEF) and Singapore Armed Forces (SAF) take a proactive approach to cybersecurity when involved in high-signature events, such as those involving high-level foreign dignitaries, and work closely with event organisers who are accountable for overall cybersecurity, he said in parliament. MINDEF and SAF, however, do not cover the cybersecurity of foreign militaries’ internal unilateral virtual meetings, which are outside the scope of these events, noted Mr Heng. He was responding to a question by Member of Parliament (MP) Yip Hon Weng (PAP-Yio Chu Kang) on measures to safeguard the security of communications lines in Singapore , after a recent incident where a private military conference call in a Singapore hotel was intercepted. A recording of a German military phone call was leaked in March , after one of the participants, who was attending the Singapore Airshow, dialled in via an ""unauthorised connection"" .",https://www.channelnewsasia.com/singapore/countries-hosting-high-level-global-meetings-not-expected-provide-secure-communications-beyond-event-heng-chee-how-4236341,"the ministry of defence and the army take a proactive approach to cybersecurity when involved in high-signature events. however, they do not cover the cybersecurity of foreign militaries’ internal unilateral virtual meetings, which are outside the scope of these events, noted senior minister of state for defence heng Chee How in parliament on thursday (apr 2)."
"Spying in Singapore? Inevitable given hosting of high-level events amid geopolitical tensions, say experts - CNA","spies,espionage,cybersecurity","SINGAPORE: When Russian media leaked a recording of a German military phone call earlier in March, Berlin said it was due to a participant dialling in through an ""unauthorised connection"" from a Singapore hotel. The participant was here to attend the Singapore Airshow . The February event would have been a ""field day"" for Russian intelligence, and hotels where attendees were staying would have been targeted by ""widespread wiretapping efforts"", German defence minister Boris Pistorius said. Singapore ""inevitably"" attracts intelligence operations given high-level events hosted in the country amid geopolitical tensions, according to international security experts. But�Singapore's hub reputation is unlikely to take a hit, they said. Event organisers and hotels, meanwhile, confirmed to CNA that they provide security support ranging from coordinating with telcos to conducting sweeps for surveillance devices. ""Cyberespionage is happening all over the world because we are more connected than ever before,"" said Dr Alan Chong, senior fellow at the S Rajaratnam School of International Studies (RSIS). ""In terms of the geopolitical location of Singapore, to me it's no surprise. Since the Cold War, long before the digital age, we were already a base of operations by both the Communist powers and the Western powers."" Intelligence operations around the world will happen more frequently as cyberespionage makes remote spy activity possible even without an agent on site, said Dr Chong. Mr Stephane Duguin, CEO of CyberPeace Institute, said high-profile events taking place amid political tensions carry risks. ""Singapore is one of the leading hubs when it comes to cyber,"" he said. ""It is therefore not a surprise that this alters the risk profile."" Mr Benjamin Ang, RSIS senior fellow and head of the RSIS' Centre of Excellence for National Security, echoed this. ""Spying is as old as history, but current geopolitical tensions make it especially useful for governments to leak sensitive information that they have uncovered,"" he added. Dr Shashi Jayakumar, executive director of SJK Geostrategic Advisory, agreed that events in Singapore attended by prominent officials would be ""tempting"" targets for intelligence services to try and surveil for high-value information. In the case of the leaked German call, it discussed support for Ukraine against Russia's invasion, including the possible delivery of long-range Taurus cruise missiles to Kyiv.",https://www.channelnewsasia.com/singapore/spy-espionage-intelligence-ops-leaked-german-call-airshow-4223826,"Singapore's hub reputation unlikely to take a hit, according to security experts. event organisers and hotels confirm they provide security support for events in the country. ""cyberespionage is happening all over the world because we are more connected than ever before,"" says senior fellow at RSIS."
Local organisations not doing enough to protect against cyber threats: CSA - CNA,"CSA,cybersecurity,veronica tan","The Cybersecurity Agency of Singapore (CSA) has said that local organisations are not doing enough to protect themselves from cyber risks. This is despite a report that shows organisations have put in place about 70 per cent of essential cybersecurity measures. But are measures actually considered essential? What can types of so-called health checks do to make sure that organisations and employees are protected? CNA's Dawn Tan spoke to Veronica Tan, Director of the Safer Cyberspace Division of CSA, for answers.",https://www.channelnewsasia.com/watch/local-organisations-not-doing-enough-protect-against-cyber-threats-csa-4228536,the Cybersecurity Agency of Singapore says local organisations are not doing enough to protect themselves from cyber risks. a report shows organisations have put in place about 70 per cent of essential cybersecurity measures.
Resilience Quest - Proofing A City - CNA,"Resilience Quest,immersive,time travel,dystopia,calamities,challenges,strategy,Singapore,Crisis,overpopulation,cyber attack,cybersecurity,Climate change,extreme weather","Time-travelling contestants navigate dystopian futures, battling overpopulation, cyberattacks and extreme weather events. They have one goal - to impress judges with strategies to build a more resilient Singapore.",https://www.channelnewsasia.com/watch/resilience-quest/proofing-city-4204746,"time-travelling contestants battle overpopulation, cyberattacks and extreme weather events. they have one goal - to impress judges with strategies to build a more resilient Singapore."
